Dialogue,Character,Label
Let's scale it down a smidge.,not spongebob,0
"Yeah, let's hide behind this tree and scream when he shows up.",not spongebob,0
"You coming, Pearl?",not spongebob,0
"Well, I'm certainly not staying by myself in the dark.",not spongebob,0
"Shh, he's coming. Wait for it. Now!",not spongebob,0
Flibberty Gibbet!,not spongebob,0
"It's her! Oh, s—she looks like she's been in the woods too long!",not spongebob,0
"I have a plan. We'll run out the back door and into Puff's boat. Count of three. One, two, three!",not spongebob,0
Let's go!,not spongebob,0
Rawr! Hmm?,spongebob,1
"No, no! SpongeBob! Don't go in!",not spongebob,0
"Oh, hello.",spongebob,1
"Gal Pals, we have to save SpongeBob!",not spongebob,0
Gal Pals.,not spongebob,0
"Wow!  Ooh, another pinecone on a stick! I love it.  Wow!  I'm gonna get one of these for each of the Gal Pals.",spongebob,1
Huh?,not spongebob,0
It's only a cabin-to-cabin country sales lady. Not Flibberty Gibbet at all.,not spongebob,0
"Did someone say my name?  Hi, gals!",not spongebob,0
Flibberty Gibbet!,not spongebob,0
I—I just wanted to say all's forgiven!,not spongebob,0
"Hey, wait! You'll need my lucky peanut!",spongebob,1
Gal Pals!,not spongebob,0
Hmmm. Sounds like a mutiny.  What the...?!  What in Neptune's knickers is this?!,not spongebob,0
"Where's the dude in the boat, man? Where's the dude in the boat?!",not spongebob,0
"Ooooh! You mean Mr. Squidward.  Well, he's at his post right over the...  Where's me cashier?!  SpongeBob! Where in Poseidon's pantyhose is that sorry excuse for a cashier?!",not spongebob,0
Sorry excuse for a cash-? Ooh! You mean Squidward.,spongebob,1
Yes. I mean Squidward. Where is he?!,not spongebob,0
He's in the storage room. Says he's working on something requiring...  ...complete privacy.,spongebob,1
"Ooh. He requires, privacy does he?  What's all the ruckus?!  Oh no! Please, no! This is terrible!  Are you hurt?",not spongebob,0
"Oh, well. Thank you for ask-",not spongebob,0
"I wasn't talking to you!  Don't worry, papa's here.",not spongebob,0
"Mr. Krabs?  Mr. Krabs!  Mr. Krabs!  Your shelf collapsed on me, and I twisted my ankle!",not spongebob,0
I didn't even know you had ankles.,not spongebob,0
"As if working here wasn't bad enough, now I've been injured on the job.",not spongebob,0
Injured? On the job?! Oh no! That would mean...,not spongebob,0
"It's all right here, Mr. Krabs. The Bikini Bottom OWS Worker Safety Guidelines. Let's see, it says here...blah blah blah blah, accident... blah blah blah blah, owner negligence... blah blah blah blah, substantial fines.",spongebob,1
"Substantial fines?!  You know, Squidward... uh... I can't really let the OWS hear about this, you know.",not spongebob,0
Really? Maybe I should give them a call.,not spongebob,0
"Now now, Squidward!  Let's not be hasty!  I'll take care of your poor little ankle personally.  SpongeBob! Squidward needs first aid!",not spongebob,0
"First aid? Fear not, injured co-worker,  for I am certified.",spongebob,1
"Oh, no no no, don't touch me!  SpongeBob, would you mind letting go of my nose?",not spongebob,0
"Oh, sure.",spongebob,1
"Ow!  Get away from me!  Well, this is it! I am reporting you to the OWS!",not spongebob,0
Please don't report me to the OWS. I'll do anything. Anything at all ya ask.,not spongebob,0
Hmm? Anything?,not spongebob,0
"Now if you want anything, just ask.",not spongebob,0
I could sure use a pillow.,not spongebob,0
And one more for my foot.,not spongebob,0
"Well, sure thing.  Okay, if that's all, I'll just get back to me--",not spongebob,0
Fluff it.,not spongebob,0
What did you say?,not spongebob,0
"I said, fluff it.",not spongebob,0
"Fluff my pillow, I'll fluff your pillow.",not spongebob,0
What's that?,not spongebob,0
"Oh, uh, I said, uh, will there be anything else, Mr. Squidward?",not spongebob,0
"No thanks. That should do it.  Oh, Krabsy!",not spongebob,0
What can I do for you?,not spongebob,0
Just one more thing. I'm afraid you'll have to take over for me today.,not spongebob,0
What!? No!,not spongebob,0
"Oh, that's too bad. It looks like my twisted ankle might become a 'permanent injury.'",not spongebob,0
"Well, that would be an even bigger fine. You just sit back down and relax. We don't want you being injured any further.  That was close. Well, at least the Krusty Krab isn't very busy today.  Of course.",not spongebob,0
"Oh, Mr. Krabs, I have the OWS accident report form to fill out. Let's see, Question 1: Was the accident the result of criminal negligence?  Mr. Krabs, what is criminal negligence?",spongebob,1
It's what criminals wear to bed. Don't worry about that. We don't need to bother those nice folks over at the OWS. We can do our own investigation.,not spongebob,0
"Oh, you mean we should find out if you're criminally negligent.",spongebob,1
"Well, no, not exactly, what I mean is...  I think Mr. Squidward is hiding something, and I want you to investigate.",not spongebob,0
"Yes, sir, Mr. Krabs...",spongebob,1
Shhhh.  You gotta keep it a secret from Squidward.,not spongebob,0
"Can do, Mr. Krabs.",spongebob,1
"Hmm? Huh? If I'm gonna get to the bottom of this, I'm gonna need some help.  Okay, you stand here...  Now, pretend you're Squidward and reach for a bun.  And I'll simulate the shelf hitting Squidward.  Hmm, we seem to be missing something. Well, we'll have to do it again.",spongebob,1
"Uhh, do what again?  Ow!",not spongebob,0
"Darn, one more time.",spongebob,1
Ow!,not spongebob,0
"Oh, Krabsy, after tea, I think a full tentacle massage would be an order.",not spongebob,0
I ain't touching your tentacles with a 10-ft...,not spongebob,0
"Hello, Office Workers Safety Department....",not spongebob,0
"I'll go get the massage oil now.  Boy, ya got anything?",not spongebob,0
"Not yet, Mr. Krabs.",spongebob,1
I'm waiting!,not spongebob,0
Coming!,not spongebob,0
This just isn't adding up.,spongebob,1
Pudding?,not spongebob,0
"We must be missing something. Patrick, we're going to need help even more expert than you.",spongebob,1
"Um, hello? Anybody here?",not spongebob,0
"Oh, for the love of peat moss.",not spongebob,0
"Anybody at all? Hmm, maybe they're on their lunch bre--",not spongebob,0
"Um, aren't you gonna wash your......",not spongebob,0
How long do I have to keep this up?,not spongebob,0
"Oh, it's gonna be a long, slow recovery. Time to pop my back barnacles.",not spongebob,0
Office Workers Safety Department. I'm here to investigate the accident.,not spongebob,0
"Oh, no!",not spongebob,0
"Oh, yes!",not spongebob,0
"Squidward, after all I've done for you, you've called the OWS?!",not spongebob,0
"He didn't call them, Mr. Krabs, we did. I needed help investigating the accident. Right, buddy?",spongebob,1
"Uh, breakfast, green, Finland.",not spongebob,0
"Well I, for one, plan to give him my full cooperation.  Anything I can do, inspector?",not spongebob,0
"So, this is where the accident occurred. Can anyone tell me what happened?",not spongebob,0
"I'll be glad to...  I mean, I can re-live the whole tragic episode, if I must.  It was just another day at the Krusty Krab. I was at the register, giving it a nice shining between orders, when something caught my eye; a patty bun with 10 seeds, instead of 11. I wasn't about to stand idly by and allow a customer go without all his guaranteed nutrients and vitamins. I must replace it with a proper bun!, I said. I dashed into action.",not spongebob,0
"Excuse me, sir.",not spongebob,0
What a diligent and charming individual.,not spongebob,0
"That's when I entered the back room to grab a new bun. Just as I was about to reach for one, I heard a slight creek, and that's when the chain snapped, and then, slam! My heroic and brave actions were halted by an unsafe shelf. Disoriented and in pain, I collapsed, and lay for nearly six hours crying softly for help.  Help! H-help! Help.  The worst part, though, is...is that I didn't get that kind gentleman his new bun.",not spongebob,0
"Hmmm, I see. As you know, certain penalties are involved...",not spongebob,0
"Oh, no...",not spongebob,0
One... Dollar.,not spongebob,0
"No! Why?! Why, why?! Huh?  What's this? Hold on a second. Me video surveillance camera!",not spongebob,0
What?!,not spongebob,0
"I forgot. I, uh, um, borrowed that from the airport. Now, let's see what really happened here.  You... f-f-f-f-f-faker! Not to mention you were sleeping on the job!",not spongebob,0
What are you going to do to me?,not spongebob,0
I'm gonna make you pay.,not spongebob,0
"Oh, no!",not spongebob,0
"Good morning, day!  Ow!  I stubbed my toe!  I stubbed my toe! I was walking around and I stubbed my toe!  D'oh, that was my favorite shirt.",spongebob,1
"And that was Aja by Eely Dan. Next up is Lionel Fishy with his hit, Sad Song.",not spongebob,0
That's a sad song!,spongebob,1
"That SpongeBob is such a crybaby. Lucky me, I get to work with him all day.",not spongebob,0
"SpongeBob, guess what?  Yeah, I'll come back later.",not spongebob,0
"He was a good little Krabby Patty.  I didn't know him well, but in the few short seconds between grill and floor, I----I came to love him!  It just isn't fair!",spongebob,1
"SpongeBob, will you stop crying?!",not spongebob,0
But the Krabby Patty fell on the floor and he—,spongebob,1
Krabby Patty nothing!  Krabby Patty nothing!  What now?,not spongebob,0
You yelled at me! You yelled at me!!!,spongebob,1
"All right, look. So far today, and it's not even 2:00 yet, you have cried 43 times.",not spongebob,0
And you wrote that number on a chalkboard.,spongebob,1
Yes!,not spongebob,0
Why?,spongebob,1
I have no idea.,not spongebob,0
"Oh, Squidward, there's no way I cry that much. There's not that many tears in my brain.",spongebob,1
Au contraire.,not spongebob,0
What's this?,spongebob,1
It's a quick montage of flashbacks I've edited together that shows the hundreds of tears you have cried over the years.,not spongebob,0
Boo! Hoo! Boohoo! Sob. Whimper.,spongebob,1
Thousands of tears later...,not spongebob,0
"Wow, guess I do cry a lot. I promise I won't cry anymore.",spongebob,1
"Oh, nonsense! I bet you can't go the rest of the day without crying.",not spongebob,0
Excuse me a minute.,spongebob,1
Star... residence. Patrick speaking.,not spongebob,0
"Hey, Patrick.",spongebob,1
"Hey, buddy! Is it 7:30 already?",not spongebob,0
"No, I'm still at work.",spongebob,1
How can I help you?,not spongebob,0
Do you think that I could go the rest of the day without crying?,spongebob,1
"Well, of course you can.",not spongebob,0
"Okay, great, thanks, Patrick.",spongebob,1
Umm... sure. And did you remember to put that package outside where I told you?,not spongebob,0
"Yeah, but I left it in a different spot. Just ask Gary, he knows where it is.",spongebob,1
"Oh, yeah.  Hey, good one, buddy. You almost had me there.",not spongebob,0
Okay.,spongebob,1
"Yeah, talk to you later.",not spongebob,0
"All right, see ya.  Okay, it's a bet.",spongebob,1
"Fine. If you cry one tear before midnight, you have to...  Wash my bike, clean out my rain gutters, and do all my yard work for a year.",not spongebob,0
"Sounds fair to me. And if I make it to midnight without crying, you'll come to a slumber party at my place. Just you and me.  Ooh, what's the matter?",spongebob,1
"Um, nothing, I just threw up a little in my mouth.  No need to worry, Squiddy. You've outdone yourself. He'll be crying in ten minutes.",not spongebob,0
"Thanks again for walking home with me, Squidward.",spongebob,1
"There's a first time for everything.  Also, I'd like to win this bet as soon as possible.",not spongebob,0
I am not gonna cry. I am not gonna cry.  I can do this!,spongebob,1
"Do what?  Oh, my! What a lovely sunset. Take a look, SpongeBob.  Isn't that beautiful?",not spongebob,0
I've never seen such a beautiful underwater sunset.,spongebob,1
"Really tugs the heartstrings, doesn't it?",not spongebob,0
It's...,spongebob,1
Is that a tear I see?,not spongebob,0
"Oh, well, sunset's over.  Nice of you to drop in, neighbor.",spongebob,1
"Nice of you to have me, I-- Oh, look SpongeBob. Gary's sleeping.",not spongebob,0
Aww. He looks like an angel.,spongebob,1
That is just so adorable. Almost makes you want to cry.,not spongebob,0
Yeah...  No! There shall be no tears in this house tonight!  La-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la...,spongebob,1
"Oh, SpongeBob.",not spongebob,0
Yes?,spongebob,1
"Your mail's here. Ooh, oh look, it's a postcard from your dear mother and father so far away.",not spongebob,0
"Mother, father?",spongebob,1
"Dear SpongeBob, we are having a wonderful time in the South Seas and we miss you very, very much.",not spongebob,0
"Ohh...  My subscription to Jellyfishing Monthly's expired. Remind me to renew that, will you, Squidward?",spongebob,1
No problem.,not spongebob,0
Welcome back to Bikini Bottom News. Our top story tonight: a series of sad tales.,not spongebob,0
"Ooh, let's turn it up.",not spongebob,0
Tragedy in the park when a young snail caught in a tree almost didn't get down.,not spongebob,0
Meow.,not spongebob,0
"However, he did get down.",not spongebob,0
Hooray!,spongebob,1
"Coming up, an interview with a manatee who didn't get what he wanted for his birthday.",not spongebob,0
"Oh, no.",spongebob,1
"And finally, sad news for Mermaid Man and Barnacle Boy fans.",not spongebob,0
"What, what, what?",spongebob,1
They will only be showing The Mermaid Man and Barnacle Boy Show seven times a day instead of eight—,not spongebob,0
"Let's watch something else Squidward, okay?!",spongebob,1
Fine!,not spongebob,0
"Hey, Dad, how about a game of catch?",not spongebob,0
"Sorry, son, I'm late for work.",not spongebob,0
"Okay, Dad.",not spongebob,0
I guess I can stay for a few throws.,not spongebob,0
"I love you, Dad.",not spongebob,0
"I love you, son.",not spongebob,0
You know what they say about that television. Rots the brain.,spongebob,1
"Hey, thanks for the TV, SpongeBob!  I'm gonna watch it all night!",not spongebob,0
"It's getting late. I'd better bring out the big guns.  Oh, SpongeBob.",not spongebob,0
"Yes, Squidward?",spongebob,1
What would you say to a little music?,not spongebob,0
I'd say... I'll go get some refreshments.,spongebob,1
Don't be long. My secret weapon is waiting.,not spongebob,0
"You said something, Squidward?",spongebob,1
"Oh, I just said, Relax and enjoy the song.",not spongebob,0
"That's a really sad song, Squidward.",spongebob,1
"You're not gonna cry though, are you?",not spongebob,0
"No.  Time really does fly when you're having fun. Well, I'd better start getting ready for bed.",spongebob,1
"Uh, SpongeBob. No-no-no-no, wait.",not spongebob,0
"Yes, Squidward?",spongebob,1
How about a bedtime story?,not spongebob,0
"Now you're talking!  Whatcha gonna read me, Squidward?",spongebob,1
Umm...  How 'bout The Little Angler Who Got Lost?,not spongebob,0
That sounds like a very sad story.,spongebob,1
"Oh, very sad. Umm... There once was a little angler  who was, uh, little and sad.  One day the little sad angler was walking through the park.",not spongebob,0
Walking...,spongebob,1
"But, he was sad, because...because he was lost... he was lost and very sad. And then, he— he started to cry.  He cried and he cried. And he cried even more.  And he kept crying...  ...and crying and crying and crying and...that's right. You can do it.",not spongebob,0
"I'm wondering if it might not be so healthy to hold in all my tears, Squidward.",spongebob,1
"You're exactly right, SpongeBob. Let it all out. Don't fight the feel-- Ten, nine...do it, do it, cry...eight, seven, six, five...come on!  ...four, three, two, one!  Midnight!  Well, SpongeBob, it looks like you won the...",not spongebob,0
"Wow, what a great show.",not spongebob,0
"Well, at least we're still together, little ones.",not spongebob,0
"More popcorn, Squidward?",spongebob,1
"No, no. No, no. Please.",not spongebob,0
"Don't be shy now. I made extra.  That's all right, let it out. You can cry all you want. You're among friends here.",spongebob,1
"There, there, SpongeBob. No need to cry.",not spongebob,0
"Yes, there is, Patrick. Sandy's been gone for 2 whole days.",spongebob,1
2 whole days?!?!,not spongebob,0
"Oh, why'd she have to go to that science convention in Tejas?!",spongebob,1
Tejas!,not spongebob,0
"She won't be back for 1 more hour, 26 minutes and 47 seconds!",spongebob,1
"Oh, 47 seconds!  I miss Sandy so much. Her tentacles,  the way she plays clarinet, her massive nose!",not spongebob,0
"Patrick, that's Squidward.  He's not gone, he's right here.",spongebob,1
"No, I'm not.",not spongebob,0
"I sure do miss that squirrel.  Her karate chopping,  that ten-gallon glass dome over her dome. And who can forget those buck teeth?  After Sandy gets back, we're gonna let her know just how much we miss her.",spongebob,1
Is Sandy the one I call Mom?,not spongebob,0
"No, Patrick, that's your mother. But that does give me an idea. We'll throw Sandy the mother of all welcome home parties! Patrick, to the treedome!",spongebob,1
Wa-hey!,not spongebob,0
"Ah.  Huh?  We've readied this place for Sandy's arrival, which should be in about...  ...Whoo! Right now!  ♪ Welcome home, Sandy, you know that we missed ya! ♪",spongebob,1
NO!  NO ONE WANTS TO HEAR YOU SING!,not spongebob,0
"Sorry, SpongeBob, he's got a fierce no-singing policy.",not spongebob,0
"That's quite alright, Miss Cheeks. As long you don't have a fierce no-partying policy!  First cake, then we'll karate-chop, and then...",spongebob,1
"Wow, guys! You two, uh...  Really know how to, uhhh...  throw a party...",not spongebob,0
I knew it! You have been itching to see us!,spongebob,1
"Well, something's making my skin crawl.",not spongebob,0
Maybe a slice of cake will take your mind off of your crawling hide.  Patrick and I made this cake especially for your return.,spongebob,1
This is gonna taste so good again.,not spongebob,0
"Dig in, Sandy!  Uh...",spongebob,1
"Looks... tasty, SpongeBob!",not spongebob,0
"Are you okay, Sandy?",spongebob,1
I'm fine. My skin just hasn't adjusted to this here underwater air.,not spongebob,0
"Uh... hey, Sandy. Sandy.  Surprise!  Patrick and I chipped in and got ya a little somethin' somethin'.",spongebob,1
"Aww, guys, you shouldn't have.  A new itch board? I mean, a new snowboard? Boy, I sure can't wait to scratch this down chafe mountain.",not spongebob,0
Don't you mean ride this down Scab Mountain?,spongebob,1
"Thank you very rawness, SpongeBob and Pat.",not spongebob,0
"Uh, you're welcome, Sandy. Hey, uh, are you still up for some karate chops?",spongebob,1
"Rashy sore! I mean, sure!",not spongebob,0
Ya ready?  And how 'bout now? You ready?,spongebob,1
"Creepin' critters! Feels like somethin's bitin' me.  I've got a flea? Well, I ain't gonna take that without a fight!  Hi...yah!  I'll get ya!  SpongeBob, my suitcase! Hurry!  I'm ashamed to say this, SpongeBob, but while I was in Texas, I seem to have picked up a flea.",not spongebob,0
What's a flea?,spongebob,1
A flea is a dastardly little vermin that bites us air breathers. But this here flea collar will send the critter a-runnin'.,not spongebob,0
"Ahahaha, he tickles! Oh, this isn't so bad!  OWWWW!  He bit me! Got any more of those fancy collars, Sandy?",spongebob,1
"No, but you can use this one right quick.",not spongebob,0
"Ow! Ah, ooh, ow, ooh, ah, yah, aah!  Hahaha, connect the dots!  I drawed a horsey!  Ouch! Why does this flea keep biting me?",not spongebob,0
"'Cause he's hungry. When a flea bites ya, it's 'cause he's sucking up your blood for nutrition.",not spongebob,0
"I've been bit by a vampire flea!  Noooooo! I'm gonna turn into a vampire now!  It's already happening!! Ah, ah!!",not spongebob,0
"Patrick,  there ain't no such thing as vampires.",not spongebob,0
"Augh! Doesn't matter!  Oh, this itch is killing me! Yagh!!!",not spongebob,0
Aah! Gimme that!  Phew!,not spongebob,0
"Nyahh! Oh. Sandy, please. Hellllp meeeee!",spongebob,1
I need this!,not spongebob,0
I need it more.,spongebob,1
Eee!,not spongebob,0
"Yah!  Enough! I will not take this anymore!  Whatcha gonna do now, punks?  Looky, it worked! Phew. I'm glad that's over.",not spongebob,0
"Um, is that what over looks like?",spongebob,1
Tarnation! They're multiplyin' like mad!  Run!,not spongebob,0
Okay!,not spongebob,0
Wah!,not spongebob,0
Whoa!,spongebob,1
Hey!  Y'all got the aim of a cross-eyed armadilla!  Run again!,not spongebob,0
Okay!,not spongebob,0
Aah!,spongebob,1
Mraah!,not spongebob,0
Aah!,not spongebob,0
"Uh, thanks for having us, Sandy, but we gotta go!",spongebob,1
"Yeah, good to see ya.",not spongebob,0
Raah!  Help! Help! Help!,not spongebob,0
"Just ignore them, Squidward, and continue your power walk. Heel, toe, heel, toe, heel, toe, heel, toe.",not spongebob,0
Back off!,not spongebob,0
"Sandy! Oh, no! Are you okay?",spongebob,1
"Them varmints is tough. They're from Texas, phew!",not spongebob,0
"It's gonna be all right.  We will help you.  Okay, you know what? None of this would have happened if you didn't come back with your infestation! All you've brought us is fleas and trouble and pain and itching... and a rash. And pain and fleas and itching and... pain. Soooooo much pain! So much pain.  And as for you. If you hadn't thrown this party, we wouldn't be in this mess.",not spongebob,0
Wait a minute! You had as much to do with this party as I did!,spongebob,1
You call this a party? I'm beginning to question  our friendship!,not spongebob,0
Stop smudging my helmet!,spongebob,1
"Oh, I've got half a mind, buddy!",not spongebob,0
"WOULD YOU TWO MEN STOP YELLING AT EACH OTHER!!!  WHAT DOES THAT PROVE!!?? IF WE'RE GONNA GET OUT OF THIS, WE GOTTA WORK TOGETHER!",not spongebob,0
"You're right. I have an idea. SpongeBob, you get on Sandy's shoulders.  Uh-huh. Good. Now, I'll get on top of you!  Ahhhh...  Ahhhhhhhh. Much better.  Whoa!",not spongebob,0
"I do not play games!  Quick! Get in the tree house, it's the only safe place left!  We should be protected here.  Hold on!",not spongebob,0
Is this how we're gonna spend the rest of our lives? Living in fleas instead of water?,spongebob,1
SpongeBob! That's it! Water!,not spongebob,0
Water!,not spongebob,0
"It sure is good to have you back, Sandy.",spongebob,1
"Patrick! Tee time, Patrick! Patrick!  Tee time, Patrick!  Patrick! Wake up!",spongebob,1
"Ready to lose? Weather permitting, of course.",not spongebob,0
"Aw, how are we supposed to golf in this this downpour? Our putters are getting waterlogged.",spongebob,1
"Dumb rain! Doesn't anybody know I'm the sheriff in these parts?  Hey, rain! You better stop that!",not spongebob,0
AAAAAAHHH!!!!!,not spongebob,0
"If you two don't mind, could you keep it down to a low rumble?",not spongebob,0
"Sorry, Squidward.",not spongebob,0
I guess we were just too upset about the rain and how...,spongebob,1
Don't care.,not spongebob,0
"I was really looking forward to a day of sportsmanship and male bonding. Thanks a lot, rain!  Hey,   that gives me an idea.",spongebob,1
What follows is a brief construction montage.,not spongebob,0
We hope you enjoyed this brief construction montage.,not spongebob,0
"Hey! Hello?! Nitwit, morons.",not spongebob,0
"Oh, hi, Squidward. Up from your slumber, I see. Well, you're just in time to endure in a friendly game of  indoor miniature golf!",spongebob,1
"I will not indulge in anything friendly or otherwise with the likes of you two! Presently, I am heading to enjoy a well-deserved morning nap!",not spongebob,0
But we sculpted your likeness out of butter on hole five.,not spongebob,0
"I don't care! Listen up, I will not be woken from my nap again, and if I am, I'm gonna...",not spongebob,0
Join us on the back nine?,not spongebob,0
Just don't let it happen again! Or else.,not spongebob,0
"Let's get this game teed off.  You're up first, my good man.",spongebob,1
Would you two KEEP IT DOWN?!,not spongebob,0
"Better tone down the calisthenics, Patrick. Don't want to upset Squidward.",spongebob,1
"Can't wait to lose, huh?  NO! Ooh. If you would just let me finish my stretches, I wouldn't have missed my first shot!",not spongebob,0
"Oh, don't worry, Patrick, I'm sure you'll get the hang of it.  Besides, we're just playin' for fun, right? And back, and-",spongebob,1
Nice shot.,not spongebob,0
What are you doing?,spongebob,1
Moving my ball.,not spongebob,0
"Patrick, you have to play it where it lands.",spongebob,1
Fine. Have it your way.  Ready to give up?,not spongebob,0
Ha! Let's see how you do against the windmill. You haven't got a chance.,not spongebob,0
"You know, Patrick, this is just a game.",spongebob,1
"Oh, it is just a game, which I am gonna win.",not spongebob,0
I think you're missing the point.,spongebob,1
"Speaking of m-m-MISSING!  Ha! Gotta play it where it lands. Watch and learn, SquarePants. Watch and learn.  YES! See if you can top that!",not spongebob,0
Okay.,spongebob,1
"SpongeBob readies the approach shot. He's gotta be very careful he doesn't hook the shot here, because this would certainly be an inopportune time for a bogey.  A pressure-packed shot to be sure.",not spongebob,0
Aw.,not spongebob,0
"Looks like we're tied, three shots to three.",not spongebob,0
"Shots.  They're called strokes in golf, Patrick. Not shots.",spongebob,1
Whatever.  AND HE SINKS ANOTHER HOLE IN ONE! That's two in a row!,not spongebob,0
"All right. You wanna play competitive, eh? Observe.  Right between the old wickets. Come on bally, don't fail me now.",spongebob,1
Watch out for the water hazard.,not spongebob,0
"Patrick, the only hazard I can see is you standing in my shot.",spongebob,1
I have no idea what you're talking about.,not spongebob,0
Fine. Be that way. I'll just go around you.  Oops.,spongebob,1
Show-off. I can do that.,not spongebob,0
"Oh, where did our balls go?!",spongebob,1
"Well, how do I know? I was just copying you.",not spongebob,0
"Uh-oh. Oh well, I guess that's game point.",spongebob,1
"Oh-ho-ho-ho-ho, hold on there, fella. It's not over yet.",not spongebob,0
